"user_id","test_group"
"70126698","control"
"70934341","control"
"70218711","control"
"67721116","variant"
"69123869","control"
"71097735","control"
"57746534","variant"
"67473902","control"
"67410590","variant"
"70088293","control"
"69195884","variant"
"69874056","variant"
"67945335","control"
"67766963","variant"
"66515391","variant"
"64548900","variant"
"57606013","variant"
"66420076","control"
"64959133","variant"
"63711917","variant"
"64691730","control"
"71554443","variant"
"66748693","control"
"66795332","control"
"66776151","variant"
"69121933","control"
"67785073","variant"
"70331571","control"
"71280545","variant"
"71044655","control"
"69918185","variant"
"66391891","variant"
"64240011","control"
"64242603","control"
"58795975","variant"
"68602352","variant"
"64859002","control"
"67335648","control"
"66802878","variant"
"71647899","variant"
"66908975","variant"
"66198754","variant"
"64379340","control"
"66915748","control"
"61643718","variant"
"65632938","variant"
"62515390","control"
"66905811","control"
"66199364","control"
"68714290","variant"
"69751385","control"
"71057883","control"
"71225191","control"
"69899194","variant"
"71361522","control"
"69526424","control"
"68963637","variant"
"69004969","variant"
"69206876","variant"
"69918884","variant"
"64959613","control"
"67925418","variant"
"68803638","variant"
"69645775","control"
"69450267","variant"
"64045869","variant"
"67105147","variant"
"69150261","variant"
"67496976","variant"
"70969044","variant"
"68680376","variant"
"69048399","variant"
"68058797","control"
"71110194","control"
"69391014","control"
"70242867","control"
"70892814","variant"
"66204040","variant"
"64361966","variant"
"71021654","control"
"65688930","variant"
"69967399","variant"
"71085997","control"
"65976766","variant"
"68690536","control"
"66797285","control"
"68752683","control"
"67623646","variant"
"62094362","variant"
"70880949","variant"
"70828277","control"
"69785703","control"
"69096317","variant"
"64547167","variant"
"58937192","control"
"48998546","variant"
"73095913","variant"
"71317785","variant"
"67974925","control"
"72710685","variant"
"69078366","variant"
"69919559","variant"
"71360639","variant"
"69864633","control"
"71501510","variant"
"67997181","control"
"71321473","control"
"70633044","variant"
"71089326","control"
"71144348","variant"
"69518692","variant"
"68762098","control"
"67486128","control"
"70045208","control"
"71065287","control"
"68666004","variant"
"67553529","variant"
"55516227","control"
"48849859","control"
"71141213","variant"
"70611711","variant"
"71186146","control"
"70348012","variant"
"67539017","variant"
"69664130","variant"
"51396272","control"
"54212549","variant"
"54897791","variant"
"69716866","control"
"71387362","variant"
"69267315","control"
"69353587","variant"
"69921924","variant"
"63478617","variant"
"65698036","variant"
"63666823","control"
"69749824","control"
"69746381","control"
"67253565","variant"
"69033854","variant"
"70723318","control"
"70947951","control"
"66294567","control"
"64684998","control"
"68887634","control"
"69588294","variant"
"69248962","variant"
"67706435","control"
"67016998","control"
"70155988","variant"
"66020262","variant"
"72920012","control"
"69248752","control"
"69710126","control"
"71298561","control"
"70660348","control"
"68848727","variant"
"63962092","variant"
"65329725","variant"
"68936082","control"
"71283853","control"
"64267164","variant"
"62435334","control"
"66707789","control"
"69769362","variant"
"69100437","control"
"58220364","control"
"65853088","control"
"65191095","control"
"69467487","variant"
"70450419","control"
"66791038","variant"
"69326241","control"
"70995591","variant"
"65992237","variant"
"67080576","control"
"66188991","variant"
"61692483","variant"
"69839724","control"
"66389819","control"
"65677732","control"
"71566321","variant"
"64212649","variant"
"64436257","control"
"64169527","variant"
"64752559","variant"
"66639573","variant"
"66519216","variant"
"63021345","variant"
"71003476","variant"
"68676166","variant"
"65391794","control"
"62775074","control"
"62528322","control"
"67070502","variant"
"70383327","variant"
"70457806","variant"
"71489953","control"
"69998986","control"
"66261499","variant"
"69145808","control"
"69916130","variant"
"69047934","control"
"70522570","control"
"73335005","control"
"64530327","variant"
"64571441","control"
"64572975","control"
"67674727","variant"
"70234652","control"
"69695655","variant"
"68634400","variant"
"71486970","control"
"68756319","control"
"71146399","control"
"69873725","variant"
"72884549","variant"
"70070369","variant"
"69020090","control"
"69711904","variant"
"67885214","variant"
"66049258","variant"
"69849679","control"
"70168973","variant"
"68986366","control"
"70351046","control"
"71505364","variant"
"68852667","control"
"49478543","control"
"67551332","variant"
"64457387","control"
"62957061","variant"
"66967630","control"
"57623153","control"
"71409488","control"
"68636107","variant"
"66302969","variant"
"70763866","control"
"71532486","variant"
"71155617","variant"
"70937842","variant"
"71019505","control"
"64746813","variant"
"69647956","control"
"70204464","control"
"69128432","control"
"70718153","control"
"68678490","variant"
"71251613","variant"
"71378626","variant"
"64325427","variant"
"63491853","variant"
"58398430","variant"
"70778743","variant"
"71376780","control"
"65256234","control"
"71110653","variant"
"65782003","variant"
"66881288","control"
"66070192","control"
"69170836","control"
"68850786","variant"
"69306306","variant"
"71010247","control"
"58353286","variant"
"49562784","control"
"64117126","control"
"63192170","variant"
"67787851","control"
"68896384","control"
"55225023","control"
"56569280","control"
"56179067","variant"
"64250842","variant"
"71553076","variant"
"69259104","control"
"70805309","variant"
"70273260","variant"
"47508481","control"
"70688825","control"
"69215548","variant"
"71370019","control"
"69904757","control"
"68671990","variant"
"69783333","variant"
"67704692","variant"
"64782647","variant"
"69499660","control"
"69161429","control"
"69902849","variant"
"70285141","control"
"65839776","variant"
"68895809","variant"
"71142852","control"
"69996759","control"
"71520012","control"
"69552153","control"
"70281168","control"
"69695815","variant"
"69232724","control"
"63393521","control"
"64971374","control"
"64445211","control"
"71253326","control"
"69156544","control"
"69517097","variant"
"69682306","control"
"66183055","control"
"65108473","variant"
"67920582","control"
"71079084","variant"
"71133206","control"
"70771123","control"
"52877059","control"
"71752710","control"
"70775213","control"
"66472804","control"
"67551905","variant"
"71487511","control"
"66397671","control"
"64567697","control"
"63679469","control"
"68737322","control"
"70542889","variant"
"69262143","control"
"70886268","control"
"70100327","control"
"70018867","control"
"71184729","control"
"58809946","control"
"64669477","control"
"67371254","control"
"70125576","control"
"68961663","variant"
"68658412","control"
"60309942","control"
"67732708","variant"
"66685957","control"
"65393531","control"
"69923809","control"
"67056051","control"
"64516457","control"
"65986650","control"
"66798497","control"
"65999846","control"
"64371984","control"
"66802336","control"
"66695805","control"
"61755716","control"
"64263104","control"
"67265202","control"
"64571620","control"
"65083682","control"
"69974470","control"
"70044740","control"
"70402433","control"
"69935973","control"
"70241177","variant"
"72737739","variant"
"67893450","control"
"48348136","variant"
"70667099","variant"
"69167459","variant"
"68798622","variant"
"71665273","control"
"70953602","variant"
"71176701","variant"
"70673349","variant"
"68864524","control"
"66169751","control"
"66183843","control"
"68788434","control"
"64594106","variant"
"49941452","variant"
"64683341","control"
"67371007","variant"
"64250959","control"
"72891926","variant"
"69052060","control"
"71253661","variant"
"70506633","control"
"69059225","variant"
"69059075","variant"
"67856249","variant"
"69967081","variant"
"70523398","control"
"69785519","control"
"53284271","variant"
"56222480","control"
"67284944","variant"
"71073603","variant"
"70949191","variant"
"71319331","variant"
"71513587","variant"
"56171864","control"
"67326370","control"
"63952590","control"
"68995475","variant"
"64442319","control"
"64684594","variant"
"62090407","control"
"66690364","variant"
"67834831","control"
"66264092","variant"
"65767418","variant"
"63381221","control"
"71331152","control"
"67491186","control"
"64928570","control"
"65282579","control"
"69458785","variant"
"64530581","variant"
"64676014","variant"
"69606363","control"
"68823288","control"
"71418100","control"
"71479988","control"
"69372855","control"
"68008052","variant"
"72750639","control"
"69419332","variant"
"69240921","variant"
"67920922","variant"
"71548008","variant"
"68951130","variant"
"68021442","control"
"70770693","control"
"71171949","control"
"71424271","variant"
"67101990","control"
"69795014","variant"
"70061566","variant"
"67640487","variant"
"69546340","variant"
"70999207","variant"
"71280849","variant"
"63820296","variant"
"67103818","control"
"54393446","variant"
"66998722","control"
"64041256","variant"
"68032201","variant"
"71613522","variant"
"71480201","control"
"65825781","variant"
"64983178","control"
"69933551","control"
"69004882","variant"
"70340244","control"
"65674331","variant"
"71009722","control"
"69485265","variant"
"69603201","variant"
"68874652","variant"
"67881797","variant"
"67888324","control"
"69572361","variant"
"67685721","variant"
"70577269","control"
"69292405","control"
"71285581","variant"
"71001022","control"
"70848963","variant"
"64158378","variant"
"66016273","variant"
"68635829","variant"
"69424954","control"
"70786888","control"
"65783007","control"
"56365192","control"
"64852046","control"
"67771614","variant"
"72766267","control"
"68708135","variant"
"71571099","control"
"69790939","variant"
"69540152","control"
"67144916","control"
"64549091","variant"
"68694133","control"
"68572891","variant"
"69839753","control"
"68572296","variant"
"68681151","control"
"67337665","control"
"65494843","control"
"64461551","control"
"64226238","variant"
"66188733","control"
"64949284","variant"
"64415937","variant"
"65497931","control"
"71371009","variant"
"71844166","control"
"64166789","variant"
"70662195","variant"
"64870778","variant"
"71046143","variant"
"69075017","control"
"67952027","control"
"63919553","control"
"66295113","variant"
"67494539","variant"
"69346023","control"
"63689693","variant"
"67172796","control"
"67474160","variant"
"63572003","control"
"66966735","control"
"65601015","variant"
"58959783","variant"
"69593786","variant"
"65969294","variant"
"63497700","control"
"70856009","variant"
"68629380","variant"
"65954914","control"
"50534071","control"
"67692880","control"
"70225978","variant"
"65690483","control"
"63963536","variant"
"64978842","variant"
"63693807","control"
"64069360","control"
"69528834","variant"
"67484842","control"
"65807949","control"
"69685488","control"
"67771225","control"
"67940096","control"
"69736564","control"
"71284835","variant"
"67635417","variant"
"70230812","variant"
"53899224","variant"
"70296173","variant"
"55749287","variant"
"68719560","control"
"66072678","variant"
"67776441","control"
"70871935","control"
"55497626","variant"
"64174177","control"
"69470842","control"
"70654386","variant"
"65870414","control"
"66468336","control"
"69730165","variant"
"64244985","variant"
"52306323","control"
"66517597","variant"
"64550297","variant"
"64722472","variant"
"63548753","variant"
"65530181","control"
"66825701","variant"
"70898792","variant"
"71043022","variant"
"67237554","control"
"57082268","control"
"71060901","variant"
"70526720","variant"
"70047137","control"
"67803034","control"
"67945586","control"
"68820087","variant"
"69115086","variant"
"69808344","variant"
"69020347","variant"
"69602279","variant"
"67940020","control"
"67608048","variant"
"69837612","variant"
"71295374","control"
"71479274","variant"
"71228919","variant"
"69421671","control"
"65837875","variant"
"69094355","control"
"67434969","control"
"70168385","variant"
"67667995","variant"
"68815198","control"
"68841752","control"
"68720528","control"
"66989669","control"
"60590069","control"
"70004728","variant"
"68746121","control"
"68849317","variant"
"65590580","variant"
"67637647","variant"
"68672940","control"
"66810196","control"
"67773156","control"
"67192023","control"
"70880995","variant"
"68036461","control"
"71380277","variant"
"69046608","control"
"69618523","variant"
"69992689","variant"
"66960536","variant"
"65477401","variant"
"58417808","control"
"66700238","control"
"67728091","control"
"67548965","control"
"68827145","variant"
"65173793","control"
"66575457","control"
"68831796","variant"
"67695390","variant"
"67376162","variant"
"72871748","variant"
"71108223","control"
"63907550","control"
"65468365","variant"
"56926712","control"
"70834792","variant"
"71217509","variant"
"69933671","variant"
"70074769","control"
"69252665","variant"
"71604048","variant"
"69370681","control"
"70939550","control"
"69001935","variant"
"69075837","variant"
"67891777","variant"
"69528998","variant"
"68734804","control"
"65975998","variant"
"66957981","control"
"49582015","control"
"63899393","control"
"72913329","control"
"65169285","variant"
"71458259","variant"
"68658865","variant"
"69943407","variant"
"68622648","control"
"67909095","control"
"70461544","variant"
"64357281","control"
"69236691","variant"
"70304244","variant"
"70275336","control"
"71752561","control"
"69232816","variant"
"69892403","control"
"63938750","control"
"63477991","variant"
"70952373","control"
"64347957","control"
"68972244","control"
"71328200","variant"
"68044048","control"
"69033304","control"
"69380660","variant"
"69837069","variant"
"71561182","control"
"69147464","variant"
"70498491","variant"
"70806509","control"
"68700477","variant"
"71555281","control"
"71181646","variant"
"71088606","control"
"67188801","control"
"70625776","variant"
"51459467","control"
"71208480","variant"
"69787369","control"
"69711414","control"
"70282970","control"
"70307971","variant"
"70382681","variant"
"71242229","control"
"71512439","control"
